Original Binary String Length,3-RLL redundancy in bits
0,0.0
1,1.0
2,0.0
3,1.0
4,0.0
5,1.0
6,0.0
7,1.0
8,2.0
9,1.0
10,2.0
11,1.0
12,2.0
13,1.0
14,2.0
15,1.0
16,2.0
17,1.0
18,2.0
19,1.0
20,2.0
21,1.0
22,2.0
23,1.0
24,2.0
25,1.0
26,2.0
27,1.0
28,2.0
29,1.0
30,2.0
31,1.0
32,2.0
33,1.0
34,2.0
35,1.0
36,2.0
37,1.0
38,2.0
39,1.0
40,2.0
41,1.0
42,2.0
43,1.0
44,2.0
45,1.0
46,2.0
47,1.0
48,2.0
49,1.0
50,2.0
51,1.0
52,2.0
53,1.0
54,2.0
55,1.0
56,2.0
57,1.0
58,2.0
59,1.0
60,2.0
61,1.0
62,2.0
63,1.0
64,2.0
65,1.0
66,2.0
67,1.0
68,2.0
69,1.0
70,2.0
71,1.0
72,2.0
73,1.0
74,2.0
75,1.0
76,2.0
77,1.0
78,2.0
79,1.0
80,2.0
81,1.0
82,2.0
83,1.0
84,2.0
85,1.0
86,2.0
87,1.0
88,2.0
89,1.0
90,2.0
91,1.0
92,2.0
93,1.0
94,2.0
95,1.0
96,2.0
97,1.0
98,2.0
99,1.0
100,2.0
101,1.0
102,2.0
103,1.0
104,2.0
105,1.0
106,2.0
107,1.0
108,2.0
109,1.0
110,2.0
111,1.0
112,2.0
113,1.0
114,2.0
115,1.0
116,2.0
117,1.0
118,2.0
119,3.0
120,2.0
121,3.0
122,2.0
123,3.0
124,2.0
125,3.0
126,2.0
127,3.0
128,2.0
129,3.0
130,2.0
131,3.0
132,2.0
133,3.0
134,2.0
135,3.0
136,2.0
137,3.0
138,2.0
139,3.0
140,2.0
141,3.0
142,2.0
143,3.0
144,2.0
145,3.0
146,2.0
147,3.0
148,2.0
149,3.0
150,2.0
151,3.0
152,2.0
153,3.0
154,2.0
155,3.0
156,2.0
157,3.0
158,2.0
159,3.0
160,2.0
161,3.0
162,2.0
163,3.0
164,2.0
165,3.0
166,2.0
167,3.0
168,2.0
169,3.0
170,2.0
171,3.0
172,2.0
173,3.0
174,2.0
175,3.0
176,2.0
177,3.0
178,2.0
179,3.0
180,2.0
181,3.0
182,2.0
183,3.0
184,2.0
185,3.0
186,2.0
187,3.0
188,2.0
189,3.0
190,2.0
191,3.0
192,2.0
193,3.0
194,2.0
195,3.0
196,2.0
197,3.0
198,2.0
199,3.0
200,2.0
201,3.0
202,2.0
203,3.0
204,2.0
205,3.0
206,2.0
207,3.0
208,2.0
209,3.0
210,2.0
211,3.0
212,2.0
213,3.0
214,2.0
215,3.0
216,2.0
217,3.0
218,2.0
219,3.0
220,2.0
221,3.0
222,2.0
223,3.0
224,2.0
225,3.0
226,2.0
227,3.0
228,2.0
229,3.0
230,2.0
231,3.0
232,4.0
233,3.0
234,4.0
235,3.0
236,4.0
237,3.0
238,4.0
239,3.0
240,4.0
241,3.0
242,4.0
243,3.0
244,4.0
245,3.0
246,4.0
247,3.0
248,4.0
249,3.0
250,4.0
251,3.0
252,4.0
253,3.0
254,4.0
255,3.0
256,4.0
257,3.0
258,4.0
259,3.0
260,4.0
261,3.0
262,4.0
263,3.0
264,4.0
265,3.0
266,4.0
267,3.0
268,4.0
269,3.0
270,4.0
271,3.0
272,4.0
273,3.0
274,4.0
275,3.0
276,4.0
277,3.0
278,4.0
279,3.0
280,4.0
281,3.0
282,4.0
283,3.0
284,4.0
285,3.0
286,4.0
287,3.0
288,4.0
289,3.0
290,4.0
291,3.0
292,4.0
293,3.0
294,4.0
295,3.0
296,4.0
297,3.0
298,4.0
299,3.0
300,4.0
301,3.0
302,4.0
303,3.0
304,4.0
305,3.0
306,4.0
307,3.0
308,4.0
309,3.0
310,4.0
311,3.0
312,4.0
313,3.0
314,4.0
315,3.0
316,4.0
317,3.0
318,4.0
319,3.0
320,4.0
321,3.0
322,4.0
323,3.0
324,4.0
325,3.0
326,4.0
327,3.0
328,4.0
329,3.0
330,4.0
331,3.0
332,4.0
333,3.0
334,4.0
335,3.0
336,4.0
337,3.0
338,4.0
339,3.0
340,4.0
341,3.0
342,4.0
343,5.0
344,4.0
345,5.0
346,4.0
347,5.0
348,4.0
349,5.0
350,4.0
351,5.0
352,4.0
353,5.0
354,4.0
355,5.0
356,4.0
357,5.0
358,4.0
359,5.0
360,4.0
361,5.0
362,4.0
363,5.0
364,4.0
365,5.0
366,4.0
367,5.0
368,4.0
369,5.0
370,4.0
371,5.0
372,4.0
373,5.0
374,4.0
375,5.0
376,4.0
377,5.0
378,4.0
379,5.0
380,4.0
381,5.0
382,4.0
383,5.0
384,4.0
385,5.0
386,4.0
387,5.0
388,4.0
389,5.0
390,4.0
391,5.0
392,4.0
393,5.0
394,4.0
395,5.0
396,4.0
397,5.0
398,4.0
399,5.0
400,4.0
401,5.0
402,4.0
403,5.0
404,4.0
405,5.0
406,4.0
407,5.0
408,4.0
409,5.0
410,4.0
411,5.0
412,4.0
413,5.0
414,4.0
415,5.0
416,4.0
417,5.0
418,4.0
419,5.0
420,4.0
421,5.0
422,4.0
423,5.0
424,4.0
425,5.0
426,4.0
427,5.0
428,4.0
429,5.0
430,4.0
431,5.0
432,4.0
433,5.0
434,4.0
435,5.0
436,4.0
437,5.0
438,4.0
439,5.0
440,4.0
441,5.0
442,4.0
443,5.0
444,4.0
445,5.0
446,4.0
447,5.0
448,4.0
449,5.0
450,4.0
451,5.0
452,4.0
453,5.0
454,4.0
455,5.0
456,6.0
457,5.0
458,6.0
459,5.0
460,6.0
461,5.0
462,6.0
463,5.0
464,6.0
465,5.0
466,6.0
467,5.0
468,6.0
469,5.0
470,6.0
471,5.0
472,6.0
473,5.0
474,6.0
475,5.0
476,6.0
477,5.0
478,6.0
479,5.0
480,6.0
481,5.0
482,6.0
483,5.0
484,6.0
485,5.0
486,6.0
487,5.0
488,6.0
489,5.0
490,6.0
491,5.0
492,6.0
493,5.0
494,6.0
495,5.0
496,6.0
497,5.0
498,6.0
499,5.0
500,6.0
501,5.0
502,6.0
503,5.0
504,6.0
505,5.0
506,6.0
507,5.0
508,6.0
509,5.0
510,6.0
511,5.0
512,6.0
513,5.0
514,6.0
515,5.0
516,6.0
517,5.0
518,6.0
519,5.0
520,6.0
521,5.0
522,6.0
523,5.0
524,6.0
525,5.0
526,6.0
527,5.0
528,6.0
529,5.0
530,6.0
531,5.0
532,6.0
533,5.0
534,6.0
535,5.0
536,6.0
537,5.0
538,6.0
539,5.0
540,6.0
541,5.0
542,6.0
543,5.0
544,6.0
545,5.0
546,6.0
547,5.0
548,6.0
549,5.0
550,6.0
551,5.0
552,6.0
553,5.0
554,6.0
555,5.0
556,6.0
557,5.0
558,6.0
559,5.0
560,6.0
561,5.0
562,6.0
563,5.0
564,6.0
565,5.0
566,6.0
567,5.0
568,6.0
569,7.0
570,6.0
571,7.0
572,6.0
573,7.0
574,6.0
575,7.0
576,6.0
577,7.0
578,6.0
579,7.0
580,6.0
581,7.0
582,6.0
583,7.0
584,6.0
585,7.0
586,6.0
587,7.0
588,6.0
589,7.0
590,6.0
591,7.0
592,6.0
593,7.0
594,6.0
595,7.0
596,6.0
597,7.0
598,6.0
599,7.0
600,6.0
601,7.0
602,6.0
603,7.0
604,6.0
605,7.0
606,6.0
607,7.0
608,6.0
609,7.0
610,6.0
611,7.0
612,6.0
613,7.0
614,6.0
615,7.0
616,6.0
617,7.0
618,6.0
619,7.0
620,6.0
621,7.0
622,6.0
623,7.0
624,6.0
625,7.0
626,6.0
627,7.0
628,6.0
629,7.0
630,6.0
631,7.0
632,6.0
633,7.0
634,6.0
635,7.0
636,6.0
