,max length of binary vectors
152,300.04791534197267
153,302.0385166439704
154,304.0385166439704
155,306.0292388303824
156,308.0292388303824
157,310.02007883109695
158,312.02007883109695
159,314.01103369149394
160,316.01103369149394
161,318.0021005667239
162,320.0021005667239
163,321.99327671633694
164,323.99327671633694
165,325.98455949923584
166,327.98455949923584
167,329.9759463689311
168,331.9759463689311
169,333.9674348690756
170,335.9674348690756
171,337.9590226292594
172,339.9590226292594
173,341.9507073610474
174,343.9507073610474
175,345.9424868542424
176,347.9424868542424
177,349.93435897335905
178,351.93435897335905
179,353.9263216542936
180,355.9263216542936
181,357.91837290117815
182,359.91837290117815
183,361.91051078340513
184,363.91051078340513
185,365.9027334328134
186,367.9027334328134
187,369.89503904102344
188,371.89503904102344
189,373.8874258569135
190,375.8874258569135
191,377.87989218422814
192,379.87989218422814
193,381.8724363793091
194,383.8724363793091
195,385.8650568489435
196,387.8650568489435
197,389.85775204832026
198,391.85775204832026
199,393.85052047908914
200,395.85052047908914
201,397.84336068751634
202,399.84336068751634
203,401.83627126272995
204,403.83627126272995
205,405.8292508350522
206,407.8292508350522
207,409.82229807441047
208,411.82229807441047
209,413.8154116888252
210,415.8154116888252
211,417.8085904229692
212,419.8085904229692
213,421.8018330567939
214,423.8018330567939
215,425.79513840421987
216,427.79513840421987
217,429.78850531188743
218,431.78850531188743
219,433.7819326579639
220,435.7819326579639
221,437.77541935100527
222,439.77541935100527
223,441.768964328868
224,443.768964328868
225,445.76256655766986
226,447.76256655766986
227,449.75622503079603
228,451.75622503079603
229,453.7499387679486
230,455.7499387679486
231,457.74370681423704
232,459.74370681423704
233,461.73752823930795
234,463.73752823930795
235,465.73140213651106
236,467.73140213651106
237,469.7253276221014
238,471.7253276221014
239,473.71930383447364
240,475.71930383447364
241,477.713329933429
242,479.713329933429
243,481.7074050994719
244,483.7074050994719
245,485.7015285331352
246,487.7015285331352
247,489.69569945433307
248,491.69569945433307
249,493.689917101739
250,495.689917101739
251,497.6841807321899
252,499.6841807321899
253,501.67848962011203
254,503.67848962011203
255,505.6728430569709
256,507.6728430569709
257,509.6672403507415
258,511.6672403507415
259,513.6616808253996
260,515.6616808253996
261,517.6561638204321
262,519.6561638204321
263,521.6506886903659
264,523.6506886903659
265,525.6452548043153
266,527.6452548043153
267,529.639861545545
268,531.639861545545
269,533.6345083110508
270,535.6345083110508
271,537.6291945111543
272,539.6291945111543
273,541.6239195691137
274,543.6239195691137
275,545.6186829207475
276,547.6186829207475
277,549.6134840140733
278,551.6134840140733
279,553.6083223089574
280,555.6083223089574
281,557.6031972767796
282,559.6031972767796
283,561.5981084001068
284,563.5981084001068
285,565.5930551723804
286,567.5930551723804
287,569.5880370976139
288,571.5880370976139
289,573.5830536900996
290,575.5830536900996
291,577.5781044741279
292,579.5781044741279
293,581.5731889837137
294,583.5731889837137
295,585.568306762334
296,587.568306762334
297,589.5634573626726
298,591.5634573626726
299,593.5586403463749
300,595.5586403463749
301,597.5538552838095
302,599.5538552838095
303,601.5491017538388
304,603.5491017538388
305,605.5443793435963
306,607.5443793435963
307,609.5396876482716
308,611.5396876482716
309,613.5350262709019
310,615.5350262709019
311,617.5303948221701
312,619.5303948221701
313,621.5257929202112
314,623.5257929202112
315,625.5212201904214
316,627.5212201904214
317,629.5166762652764
318,631.5166762652764
319,633.5121607841539
320,635.5121607841539
321,637.5076733931617
322,639.5076733931617
323,641.5032137449709
324,643.5032137449709
325,645.4987814986557
326,647.4987814986557
327,649.4943763195356
328,651.4943763195356
329,653.489997879025
330,655.489997879025
331,657.4856458544854
332,659.4856458544854
333,661.4813199290826
334,663.4813199290826
335,665.4770197916489
336,667.4770197916489
337,669.4727451365486
338,671.4727451365486
339,673.4684956635473
340,675.4684956635473
341,677.4642710776856
342,679.4642710776856
343,681.4600710891563
344,683.4600710891563
345,685.4558954131851
346,687.4558954131851
347,689.4517437699146
348,691.4517437699146
349,693.447615884292
350,695.447615884292
351,697.4435114859591
352,699.4435114859591
353,701.4394303091474
354,703.4394303091474
355,705.4353720925731
356,707.4353720925731
357,709.4313365793379
358,711.4313365793379
359,713.4273235168312
360,715.4273235168312
361,717.4233326566352
362,719.4233326566352
363,721.4193637544322
364,723.4193637544322
365,725.4154165699156
366,727.4154165699156
367,729.4114908667018
368,731.4114908667018
369,733.4075864122458
370,735.4075864122458
371,737.4037029777587
372,739.4037029777587
373,741.3998403381263
374,743.3998403381263
375,745.3959982718318
376,747.3959982718318
377,749.3921765608794
378,751.3921765608794
379,753.3883749907195
380,755.3883749907195
381,757.3845933501772
382,759.3845933501772
383,761.380831431381
384,763.380831431381
385,765.3770890296951
386,767.3770890296951
387,769.3733659436524
388,771.3733659436524
389,773.369661974889
390,775.369661974889
391,777.3659769280812
392,779.3659769280812
393,781.3623106108835
394,783.3623106108835
395,785.3586628338683
396,787.3586628338683
397,789.3550334104675
398,791.3550334104675
399,793.3514221569152
400,795.3514221569152
401,797.3478288921912
402,799.3478288921912
403,801.3442534379674
404,803.3442534379674
405,805.3406956185542
406,807.3406956185542
407,809.3371552608489
408,811.3371552608489
409,813.3336321942852
410,815.3336321942852
411,817.3301262507837
412,819.3301262507837
413,821.3266372647038
