Final Quaternary String Length,Number of possible strands,Log2 Count
63,2.3557769345759643352e+37,124.14754244956924103
64,1.042636764201805083e+38,126.29350424223814065
65,3.6323149671463696778e+38,128.09415691348031303
66,1.6093585938504779337e+39,130.24168152072009039
67,5.6022491657056040066e+39,132.04120185076960747
68,2.4847231795717636735e+40,134.19020892707893101
69,8.6430122320114903984e+40,135.98865799848710342
70,3.837113125484028678e+41,138.13907318937754685
71,1.66392662065850898e+42,140.25557179714585258
72,5.9269162499309263134e+42,142.08826165697029177
73,2.5725950452110084333e+43,144.20613245901404059
74,9.156867826035725633e+43,146.03776227841363389
75,3.9781754679172515882e+44,148.15694308648737514
76,1.414997306929556022e+45,149.98756357720537381
77,6.152752726069018696e+45,152.10799628294114683
78,2.1870137056336865068e+46,153.93765462635135667
79,9.517564834588232058e+46,156.05928485742026683
80,4.067462892563442478e+47,158.15474964396673468
81,1.4724853484252522386e+48,160.01080183356634958
82,6.2979412855301827273e+48,162.10742886216686054
83,2.2784675204503227133e+49,163.96254045457373597
84,9.752737264578110027e+49,166.06028384104040452
85,3.5261392298557202041e+50,167.91449418506612422
86,1.5104493651619630388e+51,170.01331066062410902
87,5.4578164299906205292e+51,171.86665671059968404
88,2.3395717876152945474e+52,173.96650543129484974
89,8.4488852332417176314e+52,175.81902193535201784
90,3.6242319210803492784e+53,177.91986430800340283
91,1.5324052372893713654e+54,179.99991498548795929
92,5.6149235416377575756e+54,181.87338350151208853
93,2.3756998702564229406e+55,183.95439780618839165
94,8.699991963882626801e+55,185.82705928716031385
95,3.6833817995032369334e+56,187.90900426067238561
96,1.3481552125946512351e+57,189.78088801159046715
97,5.7113464849385046362e+57,191.86373231846538318
98,2.089324521301371524e+58,193.73486609779169733
99,8.856584394884755567e+58,195.81857992384594114
100,3.7105159211888134468e+59,197.88537739576438426
101,1.37350228807616129905e+60,199.7735450069997994
102,5.757718055252949521e+60,201.84118283777918432
103,2.1302336903456944467e+61,203.72862549342036892
104,8.934978966683351042e+61,205.79707812123500292
105,3.3041459825798894698e+62,207.68381931181119782
106,1.386639063952387384e+63,209.75306228725911721
107,5.125363841157843237e+63,211.63912440070773337
108,2.15208677903252152e+64,213.70913432594394883
109,7.951023814832818151e+64,215.59453871400347374
110,3.3402753136226720815e+65,217.66529318571585523
111,1.3896976667676848847e+66,219.72202531666784753
112,5.1847826769614837523e+66,221.62153778150976666
113,2.158166902062176052e+67,223.67898879756487118
114,8.048303134713185686e+67,225.57786700189982639
115,3.3517327286828353333e+68,227.63601756367587894
116,1.2494049649542535949e+69,229.53427971531645918
117,5.2056296494137947694e+69,231.59311122317288008
118,1.9396658438213780094e+70,233.49077477546330192
119,8.085307774568213156e+70,235.55026933435382655
120,3.3428377967411755075e+71,237.59796809030850188
121,1.2558538499924696002e+72,239.5074914122347218
122,5.194574905965289954e+72,241.55582852401307092
123,1.9507460890911429259e+73,243.46477693442812412
124,8.0723347653699964086e+73,245.51373693203497509
125,3.030269957501947662e+74,247.42212534638634402
126,1.2544771310068012983e+75,249.4716932873520273
127,4.7073951113220405727e+75,251.37953606607858704
128,1.949578575614694172e+76,253.42969751357964504
129,7.313050257631425356e+76,255.33700848816335263
130,3.029933612449359536e+77,257.38774949011115276
131,1.2466402953699931101e+78,259.42843665231082828
132,4.709120551710114387e+78,261.34584905677338545
133,1.9382761959358529313e+79,263.3870936592776057
134,7.319152076098778896e+79,265.30399601804482085
135,3.0137053258066939945e+80,267.3457859509304888
136,1.1376166308327610666e+81,269.26219014687860404
137,4.6859383730490623372e+81,271.30451366664992502
138,1.7682563073693098466e+82,273.22043118816849325
139,7.286232966296765055e+82,275.26327690457729883
140,2.984397465030665965e+83,277.29747156360434437
141,1.1329747859238840098e+84,279.22207572522966185
142,4.6422089140022960977e+84,281.25677142049636623
143,1.7617657227899418211e+85,283.18091015481414244
144,7.221051515904440167e+85,285.21609700036689247
145,2.7395976501663520228e+86,287.13978018826804428
146,1.1232696580803629301e+87,289.17544856555231425
147,4.260260169128026784e+87,291.09868579204826483
148,1.7473322900527826224e+88,293.13482634164267965
149,6.625156601833125549e+88,295.05762690669151355
150,2.7181594250118502448e+89,297.09423052025967354
151,1.109405216038075233e+90,299.12331495350555371
152,4.228461144671090339e+90,301.0536612616284673
153,1.7263595508924304917e+91,303.08318960231913697
154,6.5780595204363818334e+91,305.0131186969594563
155,2.6864449819757806913e+92,307.0430830217886452
156,1.0233432292943807452e+93,308.97260293065459702
157,4.1805208041414746575e+93,311.00299550720128394
158,1.59203618061222680215e+94,312.93211404235185757
159,6.505619319588548933e+94,314.96292732405209375
160,2.646335316460996475e+95,316.98716489101261132
161,1.01240153560809500773e+96,318.92287871002587796
162,4.1193639822924889883e+96,320.94751871590967318
163,1.5755162917928815213e+97,322.8828498768474192
164,6.4123828317713169973e+97,324.9078857638477485
165,2.451878879552033631e+98,326.84284101200914802
166,9.9818904063049430433e+98,328.8682663631747547
167,3.8157611996744634714e+99,330.80285228038476356
168,1.5538544019827677414e+100,332.82866081656277749
169,5.9384002595089068413e+100,334.7628838257366931
170,2.4188676256480527504e+101,336.78906940252942692
171,9.813169456966178397e+101,338.8094567569024978
172,3.765461510410497598e+102,340.74949237686796
173,1.5280018984161314101e+103,342.77024010920250502
174,5.86176934546714581e+103,344.70992997399186572
175,2.3792565967770751825e+104,346.73103273943292807
176,9.125227581724541004e+104,348.67038240819924622
177,3.704772622056296842e+105,350.69183496397727065
178,1.4205718642550567973e+106,352.6308498748619873
179,5.768791096415411521e+106,354.65264707850177195
180,2.3343258287927932373e+107,356.66931210164314262
181,8.982787504626547058e+107,358.61346935905732564
182,3.635689337110730861e+108,360.63046317702673296
183,1.3987515407908931542e+109,362.57430206312177468
184,5.662573487332480911e+109,364.5916202109051545
185,2.1780770535238873234e+110,366.53514543058590971
186,8.8194768486290846655e+110,368.5527835185317723
187,3.3916355488751489357e+111,370.49599968468631486
188,1.3736426795265393495e+112,372.513953397539598
189,5.281392655913788178e+112,374.4568650328880299
190,2.1394729023478685912e+113,376.47513012878842087
191,8.639484811755862326e+113,378.48882000668783476
192,3.332283532835828536e+114,380.43631397717047488
193,1.3458986572242455087e+115,382.4503006947851144
194,5.1901429702753150045e+115,384.39750519237669707
195,2.0967081487125377914e+116,386.4117850664095805
196,8.0838637318734625306e+116,388.35870400962553695
197,3.26636566995367524e+117,390.37327341161200617
198,1.2591022556811057547e+118,392.3199106503561836
199,5.0885365814195938877e+118,394.3347660061943027
200,2.050663573155591433e+119,396.34553411781102253
201,7.927246404539776055e+119,398.2962631123308087
202,3.1952570015960053536e+120,400.3073033614793926
203,1.234961013260820874e+121,402.25776497916210456
204,4.9787196809546274775e+121,404.26907427036761872
205,1.9239139410654201405e+122,406.21927184336255376
206,7.757649232516492441e+122,408.23084712114667127
207,2.9972268039357954527e+123,410.18078392968272797
208,1.2087688706084955088e+124,412.19262217844097276
209,4.669336901241238097e+124,414.1423014514678275
210,1.8834631854923756998e+125,416.1543996953063963
211,7.577968059223985911e+125,418.16282291988854702
212,2.9347547741441447266e+126,420.11617991368922626
213,1.1809782149268691532e+127,422.1248504028078605
214,4.5728544944729900303e+127,424.07796306486679813
215,1.8404800320402743057e+128,426.08687824312682452
216,7.125312181010439334e+128,428.03974936987051764
217,2.8682732088621690237e+129,430.0489066906943062
