Strand length,Number of possible strands,Max length of binary vectors
62,6.756516353405765e+36,122.3456910034141
63,2.355776934575963e+37,124.14754244956924
64,1.0426367642018056e+38,126.29350424223814
65,3.632314967146375e+38,128.0941569134803
66,1.6093585938504772e+39,130.24168152072008
67,5.602249165705604e+39,132.0412018507696
68,2.484723179571761e+40,134.19020892707894
69,8.643012232011491e+40,135.9886579984871
70,3.837113125484029e+41,138.13907318937754
71,1.6639266206585083e+42,140.25557179714585
72,5.926916249930928e+42,142.0882616569703
73,2.5725950452110087e+43,144.20613245901404
74,9.156867826035724e+43,146.03776227841362
75,3.978175467917254e+44,148.1569430864874
76,1.4149973069295553e+45,149.98756357720538
77,6.152752726069015e+45,152.10799628294114
78,2.187013705633684e+46,153.93765462635136
79,9.517564834588234e+46,156.05928485742027
80,4.067462892563449e+47,158.15474964396674
81,1.4724853484252522e+48,160.01080183356635
82,6.297941285530186e+48,162.10742886216687
83,2.2784675204503213e+49,163.96254045457374
84,9.7527372645781e+49,166.06028384104042
85,3.5261392298557147e+50,167.91449418506613
86,1.5104493651619614e+51,170.01331066062411
87,5.4578164299906204e+51,171.86665671059967
88,2.3395717876152938e+52,173.96650543129485
89,8.448885233241712e+52,175.81902193535203
90,3.624231921080349e+53,177.9198643080034
91,1.5324052372893701e+54,179.99991498548795
92,5.614923541637759e+54,181.87338350151208
93,2.3756998702564243e+55,183.95439780618838
94,8.699991963882617e+55,185.82705928716032
95,3.6833817995032388e+56,187.9090042606724
96,1.3481552125946532e+57,189.78088801159046
97,5.711346484938513e+57,191.8637323184654
98,2.0893245213013717e+58,193.7348660977917
99,8.856584394884774e+58,195.81857992384593
100,3.7105159211888125e+59,197.88537739576438
101,1.3735022880761609e+60,199.7735450069998
102,5.7577180552529464e+60,201.84118283777917
103,2.1302336903456936e+61,203.72862549342037
104,8.934978966683344e+61,205.797078121235
105,3.3041459825798905e+62,207.6838193118112
106,1.3866390639523894e+63,209.75306228725913
107,5.125363841157838e+63,211.63912440070774
108,2.1520867790325213e+64,213.70913432594395
109,7.951023814832816e+64,215.59453871400348
110,3.340275313622674e+65,217.66529318571585
111,1.389697666767686e+66,219.72202531666784
112,5.184782676961482e+66,221.62153778150977
113,2.158166902062177e+67,223.67898879756487
114,8.048303134713191e+67,225.57786700189982
115,3.3517327286828347e+68,227.6360175636759
116,1.2494049649542544e+69,229.53427971531647
117,5.205629649413791e+69,231.59311122317288
118,1.939665843821376e+70,233.4907747754633
119,8.085307774568214e+70,235.55026933435383
120,3.342837796741178e+71,237.5979680903085
121,1.2558538499924693e+72,239.5074914122347
122,5.1945749059652885e+72,241.55582852401307
123,1.9507460890911424e+73,243.46477693442813
124,8.072334765369992e+73,245.513736932035
125,3.0302699575019457e+74,247.42212534638634
126,1.2544771310068033e+75,249.47169328735202
127,4.707395111322034e+75,251.37953606607857
128,1.9495785756146908e+76,253.42969751357964
129,7.31305025763142e+76,255.33700848816335
130,3.0299336124493574e+77,257.38774949011116
131,1.2466402953699927e+78,259.42843665231084
132,4.7091205517101174e+78,261.3458490567734
133,1.9382761959358532e+79,263.3870936592776
134,7.319152076098781e+79,265.3039960180448
135,3.013705325806695e+80,267.34578595093046
136,1.1376166308327608e+81,269.2621901468786
137,4.685938373049055e+81,271.30451366664994
138,1.7682563073693087e+82,273.2204311881685
139,7.286232966296774e+82,275.2632769045773
140,2.984397465030663e+83,277.29747156360435
141,1.1329747859238834e+84,279.2220757252297
142,4.642208914002294e+84,281.25677142049636
143,1.7617657227899418e+85,283.1809101548141
144,7.221051515904426e+85,285.2160970003669
145,2.7395976501663546e+86,287.13978018826805
146,1.123269658080363e+87,289.1754485655523
147,4.260260169128031e+87,291.0986857920483
148,1.747332290052782e+88,293.1348263416427
149,6.625156601833122e+88,295.0576269066915
150,2.718159425011849e+89,297.09423052025966
151,1.1094052160380758e+90,299.12331495350554
152,4.228461144671087e+90,301.05366126162846
153,1.7263595508924304e+91,303.0831896023191
154,6.578059520436373e+91,305.01311869695945
155,2.6864449819757796e+92,307.0430830217886
156,1.0233432292943818e+93,308.9726029306546
157,4.180520804141473e+93,311.00299550720126
158,1.5920361806122271e+94,312.9321140423519
159,6.5056193195885526e+94,314.9629273240521
160,2.646335316460997e+95,316.98716489101264
161,1.0124015356080951e+96,318.9228787100259
162,4.1193639822924866e+96,320.94751871590967
163,1.5755162917928819e+97,322.88284987684744
164,6.4123828317713094e+97,324.90788576384773
165,2.4518788795520314e+98,326.84284101200916
166,9.981890406304941e+98,328.86826636317477
167,3.815761199674459e+99,330.80285228038474
168,1.553854401982768e+100,332.8286608165628
169,5.938400259508904e+100,334.7628838257367
170,2.4188676256480513e+101,336.78906940252944
171,9.813169456966188e+101,338.8094567569025
172,3.7654615104104997e+102,340.749492376868
173,1.528001898416133e+103,342.7702401092025
174,5.8617693454671465e+103,344.70992997399185
175,2.3792565967770744e+104,346.7310327394329
176,9.12522758172453e+104,348.67038240819926
177,3.7047726220562946e+105,350.69183496397727
