Original Binary String Length,Almost Balanced,3-RLL,Almost Balanced And RLL
987,1.0,9.0,9.0
988,2.0,10.0,10.0
989,1.0,9.0,9.0
990,2.0,10.0,10.0
991,1.0,9.0,9.0
992,2.0,10.0,10.0
993,1.0,9.0,9.0
994,2.0,10.0,10.0
995,1.0,9.0,9.0
996,2.0,10.0,10.0
997,1.0,9.0,9.0
998,2.0,10.0,10.0
999,1.0,9.0,9.0
1000,2.0,10.0,10.0
