Final Quaternary Strand Length,3-RLL and Knuth,3-RLL and Knuth with Skips,3-RLL and Knuth by blocks
984,116.0,113.0,60.0
985,116.0,113.0,60.0
986,116.0,113.0,60.0
987,116.0,113.0,60.0
988,116.0,113.0,60.0
989,116.0,113.0,61.0
990,116.0,113.0,61.0
991,116.0,113.0,61.0
992,116.0,113.0,61.0
993,116.0,113.0,61.0
994,116.0,114.0,61.0
995,116.0,115.0,61.0
996,116.0,115.0,61.0
997,117.0,115.0,61.0
998,118.0,115.0,61.0
999,118.0,115.0,61.0
1000,118.0,115.0,61.0
1001,118.0,115.0,61.0
1002,118.0,115.0,61.0
1003,118.0,115.0,61.0
1004,119.0,115.0,61.0
1005,119.0,115.0,61.0
1006,119.0,115.0,62.0
1007,119.0,115.0,62.0
1008,119.0,115.0,62.0
1009,119.0,115.0,62.0
1010,119.0,115.0,62.0
1011,119.0,115.0,62.0
1012,119.0,116.0,62.0
1013,119.0,117.0,62.0
1014,119.0,117.0,62.0
1015,119.0,117.0,62.0
1016,120.0,117.0,62.0
1017,121.0,117.0,62.0
1018,121.0,117.0,62.0
1019,121.0,117.0,62.0
1020,121.0,117.0,62.0
1021,121.0,117.0,62.0
1022,121.0,117.0,62.0
1023,121.0,117.0,63.0
1024,121.0,117.0,63.0
1025,121.0,117.0,63.0
1026,121.0,117.0,63.0
1027,121.0,117.0,63.0
1028,121.0,117.0,63.0
1029,121.0,117.0,63.0
1030,121.0,118.0,63.0
1031,121.0,119.0,63.0
1032,121.0,119.0,63.0
1033,121.0,119.0,63.0
1034,122.0,119.0,63.0
1035,123.0,119.0,63.0
1036,123.0,119.0,63.0
1037,123.0,119.0,63.0
1038,123.0,119.0,63.0
1039,123.0,119.0,63.0
1040,123.0,119.0,64.0
1041,123.0,119.0,64.0
1042,123.0,119.0,64.0
1043,123.0,119.0,64.0
1044,123.0,119.0,64.0
1045,123.0,119.0,64.0
1046,123.0,119.0,64.0
1047,123.0,119.0,64.0
1048,123.0,120.0,64.0
1049,123.0,121.0,64.0
1050,123.0,121.0,64.0
1051,123.0,121.0,64.0
1052,124.0,121.0,64.0
1053,125.0,121.0,64.0
1054,125.0,121.0,64.0
1055,125.0,121.0,64.0
1056,125.0,121.0,64.0
1057,125.0,121.0,65.0
1058,125.0,121.0,65.0
1059,125.0,121.0,65.0
1060,125.0,121.0,65.0
1061,125.0,121.0,65.0
1062,125.0,121.0,65.0
1063,125.0,121.0,65.0
1064,125.0,121.0,65.0
1065,125.0,121.0,65.0
1066,125.0,122.0,65.0
1067,125.0,123.0,65.0
1068,125.0,123.0,65.0
1069,125.0,123.0,65.0
1070,126.0,123.0,65.0
1071,127.0,123.0,65.0
1072,127.0,123.0,65.0
1073,127.0,123.0,65.0
1074,127.0,123.0,66.0
1075,127.0,123.0,66.0
1076,127.0,123.0,66.0
1077,127.0,123.0,66.0
1078,127.0,123.0,66.0
1079,127.0,123.0,66.0
1080,127.0,123.0,66.0
1081,127.0,123.0,66.0
1082,127.0,123.0,66.0
1083,127.0,123.0,66.0
1084,127.0,124.0,66.0
1085,127.0,125.0,66.0
1086,127.0,125.0,66.0
1087,127.0,125.0,66.0
1088,128.0,125.0,66.0
1089,129.0,125.0,66.0
1090,129.0,125.0,66.0
1091,129.0,125.0,67.0
1092,129.0,125.0,67.0
1093,129.0,125.0,67.0
1094,129.0,125.0,67.0
1095,129.0,125.0,67.0
1096,129.0,125.0,67.0
1097,129.0,125.0,67.0
1098,129.0,125.0,67.0
1099,129.0,125.0,67.0
1100,129.0,125.0,67.0
1101,129.0,125.0,67.0
1102,129.0,126.0,67.0
1103,129.0,127.0,67.0
1104,129.0,127.0,67.0
1105,129.0,127.0,67.0
1106,130.0,127.0,67.0
1107,131.0,127.0,67.0
1108,131.0,127.0,68.0
1109,131.0,127.0,68.0
1110,131.0,127.0,68.0
1111,131.0,127.0,68.0
1112,131.0,127.0,68.0
1113,131.0,127.0,68.0
1114,131.0,127.0,68.0
1115,131.0,127.0,68.0
1116,131.0,127.0,68.0
1117,131.0,127.0,68.0
1118,131.0,127.0,68.0
1119,131.0,127.0,68.0
1120,131.0,128.0,68.0
1121,131.0,129.0,68.0
1122,131.0,129.0,68.0
1123,131.0,129.0,68.0
1124,132.0,129.0,68.0
1125,133.0,129.0,69.0
1126,133.0,129.0,69.0
1127,133.0,129.0,69.0
1128,133.0,129.0,69.0
1129,133.0,129.0,69.0
1130,133.0,129.0,69.0
1131,133.0,129.0,69.0
1132,133.0,129.0,69.0
1133,133.0,129.0,69.0
1134,133.0,129.0,69.0
1135,133.0,129.0,69.0
1136,133.0,129.0,69.0
1137,133.0,129.0,69.0
1138,133.0,130.0,69.0
1139,133.0,131.0,69.0
1140,133.0,131.0,69.0
1141,133.0,131.0,69.0
1142,134.0,131.0,70.0
1143,135.0,131.0,70.0
1144,135.0,131.0,70.0
1145,135.0,131.0,70.0
1146,135.0,131.0,70.0
1147,135.0,131.0,70.0
1148,135.0,131.0,70.0
1149,135.0,131.0,70.0
1150,135.0,131.0,70.0
1151,135.0,131.0,70.0
1152,135.0,131.0,70.0
1153,135.0,131.0,70.0
1154,135.0,131.0,70.0
1155,135.0,131.0,70.0
1156,135.0,132.0,70.0
1157,135.0,133.0,70.0
1158,135.0,133.0,70.0
1159,135.0,133.0,71.0
1160,136.0,133.0,71.0
1161,137.0,133.0,71.0
1162,137.0,133.0,71.0
1163,137.0,133.0,71.0
1164,137.0,133.0,71.0
1165,137.0,133.0,71.0
1166,137.0,133.0,71.0
1167,137.0,133.0,71.0
1168,137.0,133.0,71.0
1169,137.0,133.0,71.0
1170,137.0,133.0,71.0
1171,137.0,133.0,71.0
1172,137.0,133.0,71.0
1173,137.0,133.0,71.0
1174,137.0,134.0,71.0
1175,137.0,135.0,71.0
1176,137.0,135.0,72.0
1177,137.0,135.0,72.0
1178,138.0,135.0,72.0
1179,139.0,135.0,72.0
1180,139.0,135.0,72.0
1181,139.0,135.0,72.0
1182,139.0,135.0,72.0
1183,139.0,135.0,72.0
1184,139.0,135.0,72.0
1185,139.0,135.0,72.0
1186,139.0,135.0,72.0
1187,139.0,135.0,72.0
1188,139.0,135.0,72.0
1189,139.0,135.0,72.0
1190,139.0,135.0,72.0
1191,139.0,135.0,72.0
1192,139.0,136.0,72.0
1193,139.0,137.0,73.0
1194,139.0,137.0,73.0
1195,139.0,137.0,73.0
1196,140.0,137.0,73.0
1197,141.0,137.0,73.0
1198,141.0,137.0,73.0
1199,141.0,137.0,73.0
1200,141.0,137.0,73.0
1201,141.0,137.0,73.0
1202,141.0,137.0,73.0
1203,141.0,137.0,73.0
1204,141.0,137.0,73.0
1205,141.0,137.0,73.0
1206,141.0,137.0,73.0
1207,141.0,137.0,73.0
1208,141.0,137.0,73.0
1209,141.0,137.0,73.0
1210,141.0,138.0,74.0
1211,141.0,139.0,74.0
1212,141.0,139.0,74.0
1213,141.0,139.0,74.0
1214,142.0,139.0,74.0
1215,143.0,139.0,74.0
1216,143.0,139.0,74.0
1217,143.0,139.0,74.0
1218,143.0,139.0,74.0
1219,143.0,139.0,74.0
1220,143.0,139.0,74.0
1221,143.0,139.0,74.0
1222,143.0,139.0,74.0
1223,143.0,139.0,74.0
1224,143.0,139.0,74.0
1225,143.0,139.0,74.0
1226,143.0,139.0,74.0
1227,143.0,139.0,75.0
1228,143.0,140.0,75.0
1229,143.0,141.0,75.0
1230,143.0,141.0,75.0
1231,143.0,141.0,75.0
1232,144.0,141.0,75.0
1233,145.0,141.0,75.0
1234,145.0,141.0,75.0
1235,145.0,141.0,75.0
1236,145.0,141.0,75.0
1237,145.0,141.0,75.0
1238,145.0,141.0,75.0
1239,145.0,141.0,75.0
1240,145.0,141.0,75.0
1241,145.0,141.0,75.0
1242,145.0,141.0,75.0
1243,145.0,141.0,75.0
1244,145.0,141.0,76.0
1245,145.0,141.0,76.0
1246,145.0,142.0,76.0
1247,145.0,143.0,76.0
1248,145.0,143.0,76.0
1249,145.0,143.0,76.0
1250,146.0,143.0,76.0
1251,147.0,143.0,76.0
1252,147.0,143.0,76.0
1253,147.0,143.0,76.0
1254,147.0,143.0,76.0
1255,147.0,143.0,76.0
1256,147.0,143.0,76.0
1257,147.0,143.0,76.0
1258,147.0,143.0,76.0
1259,147.0,143.0,76.0
1260,147.0,143.0,76.0
1261,147.0,143.0,77.0
1262,147.0,143.0,77.0
1263,147.0,143.0,77.0
1264,147.0,144.0,77.0
1265,147.0,145.0,77.0
1266,147.0,145.0,77.0
1267,147.0,145.0,77.0
1268,148.0,145.0,77.0
1269,149.0,145.0,77.0
1270,149.0,145.0,77.0
1271,149.0,145.0,77.0
1272,149.0,145.0,77.0
1273,149.0,145.0,77.0
1274,149.0,145.0,77.0
1275,149.0,145.0,77.0
1276,149.0,145.0,77.0
1277,149.0,145.0,77.0
1278,149.0,145.0,78.0
1279,149.0,145.0,78.0
1280,149.0,145.0,78.0
1281,149.0,145.0,78.0
1282,149.0,146.0,78.0
1283,149.0,147.0,78.0
1284,149.0,147.0,78.0
1285,149.0,147.0,78.0
1286,150.0,147.0,78.0
1287,151.0,147.0,78.0
1288,151.0,147.0,78.0
1289,151.0,147.0,78.0
1290,151.0,147.0,78.0
1291,151.0,147.0,78.0
1292,151.0,147.0,78.0
1293,151.0,147.0,78.0
1294,151.0,147.0,78.0
1295,151.0,147.0,79.0
1296,151.0,147.0,79.0
1297,151.0,147.0,79.0
1298,151.0,147.0,79.0
1299,151.0,147.0,79.0
1300,151.0,148.0,79.0
1301,151.0,149.0,79.0
1302,151.0,149.0,79.0
1303,151.0,149.0,79.0
1304,152.0,149.0,79.0
1305,153.0,149.0,79.0
1306,153.0,149.0,79.0
1307,153.0,149.0,79.0
1308,153.0,149.0,79.0
1309,153.0,149.0,79.0
1310,153.0,149.0,79.0
1311,153.0,149.0,79.0
1312,153.0,149.0,80.0
1313,153.0,149.0,80.0
1314,153.0,149.0,80.0
1315,153.0,149.0,80.0
1316,153.0,149.0,80.0
1317,153.0,149.0,80.0
1318,153.0,150.0,80.0
1319,153.0,151.0,80.0
1320,153.0,151.0,80.0
1321,153.0,151.0,80.0
1322,154.0,151.0,80.0
1323,155.0,151.0,80.0
1324,155.0,151.0,80.0
1325,155.0,151.0,80.0
1326,155.0,151.0,80.0
1327,155.0,151.0,80.0
1328,155.0,151.0,80.0
1329,155.0,151.0,81.0
1330,155.0,151.0,81.0
1331,155.0,151.0,81.0
1332,155.0,151.0,81.0
1333,155.0,151.0,81.0
1334,155.0,151.0,81.0
1335,155.0,151.0,81.0
1336,155.0,152.0,81.0
1337,155.0,153.0,81.0
1338,155.0,153.0,81.0
1339,155.0,153.0,81.0
1340,156.0,153.0,81.0
1341,157.0,153.0,81.0
1342,157.0,153.0,81.0
1343,157.0,153.0,81.0
1344,157.0,153.0,81.0
1345,157.0,153.0,81.0
1346,157.0,153.0,82.0
1347,157.0,153.0,82.0
1348,157.0,153.0,82.0
1349,157.0,153.0,82.0
1350,157.0,153.0,82.0
1351,157.0,153.0,82.0
1352,157.0,153.0,82.0
1353,157.0,153.0,82.0
1354,157.0,154.0,82.0
1355,157.0,155.0,82.0
1356,157.0,155.0,82.0
1357,157.0,155.0,82.0
1358,158.0,155.0,82.0
1359,159.0,155.0,82.0
1360,159.0,155.0,82.0
1361,159.0,155.0,82.0
1362,159.0,155.0,82.0
1363,159.0,155.0,83.0
1364,159.0,155.0,83.0
1365,159.0,155.0,83.0
1366,159.0,155.0,83.0
1367,159.0,155.0,83.0
1368,159.0,155.0,83.0
1369,159.0,155.0,83.0
1370,159.0,155.0,83.0
1371,159.0,155.0,83.0
1372,159.0,156.0,83.0
1373,159.0,157.0,83.0
1374,159.0,157.0,83.0
1375,159.0,157.0,83.0
1376,160.0,157.0,83.0
1377,161.0,157.0,83.0
1378,161.0,157.0,83.0
1379,161.0,157.0,83.0
1380,161.0,157.0,84.0
1381,161.0,157.0,84.0
1382,161.0,157.0,84.0
1383,161.0,157.0,84.0
1384,161.0,157.0,84.0
1385,161.0,157.0,84.0
1386,161.0,157.0,84.0
1387,161.0,157.0,84.0
1388,161.0,157.0,84.0
1389,161.0,157.0,84.0
1390,161.0,158.0,84.0
1391,161.0,159.0,84.0
1392,161.0,159.0,84.0
1393,161.0,159.0,84.0
1394,162.0,159.0,84.0
1395,163.0,159.0,84.0
1396,163.0,159.0,84.0
1397,163.0,159.0,85.0
1398,163.0,159.0,85.0
1399,163.0,159.0,85.0
1400,163.0,159.0,85.0
1401,163.0,159.0,85.0
1402,163.0,159.0,85.0
1403,163.0,159.0,85.0
1404,163.0,159.0,85.0
1405,163.0,159.0,85.0
1406,163.0,159.0,85.0
1407,163.0,159.0,85.0
1408,163.0,160.0,85.0
1409,163.0,161.0,85.0
1410,163.0,161.0,85.0
1411,163.0,161.0,85.0
1412,164.0,161.0,85.0
1413,165.0,161.0,85.0
1414,165.0,161.0,86.0
1415,165.0,161.0,86.0
1416,165.0,161.0,86.0
1417,165.0,161.0,86.0
1418,165.0,161.0,86.0
1419,165.0,161.0,86.0
1420,165.0,161.0,86.0
1421,165.0,161.0,86.0
1422,165.0,161.0,86.0
1423,165.0,161.0,86.0
1424,165.0,161.0,86.0
1425,165.0,161.0,86.0
1426,165.0,162.0,86.0
1427,165.0,163.0,86.0
1428,165.0,163.0,86.0
1429,165.0,163.0,86.0
1430,166.0,163.0,86.0
1431,167.0,163.0,87.0
1432,167.0,163.0,87.0
1433,167.0,163.0,87.0
1434,167.0,163.0,87.0
1435,167.0,163.0,87.0
1436,167.0,163.0,87.0
1437,167.0,163.0,87.0
1438,167.0,163.0,87.0
1439,167.0,163.0,87.0
1440,167.0,163.0,87.0
1441,167.0,163.0,87.0
1442,167.0,163.0,87.0
1443,167.0,163.0,87.0
1444,167.0,164.0,87.0
1445,167.0,165.0,87.0
1446,167.0,165.0,87.0
1447,167.0,165.0,87.0
1448,168.0,165.0,88.0
1449,169.0,165.0,88.0
1450,169.0,165.0,88.0
1451,169.0,165.0,88.0
1452,169.0,165.0,88.0
1453,169.0,165.0,88.0
1454,169.0,165.0,88.0
1455,169.0,165.0,88.0
1456,169.0,165.0,88.0
1457,169.0,165.0,88.0
1458,169.0,165.0,88.0
1459,169.0,165.0,88.0
1460,169.0,165.0,88.0
1461,169.0,165.0,88.0
1462,169.0,166.0,88.0
1463,169.0,167.0,88.0
1464,169.0,167.0,88.0
1465,169.0,167.0,89.0
1466,170.0,167.0,89.0
1467,171.0,167.0,89.0
1468,171.0,167.0,89.0
1469,171.0,167.0,89.0
1470,171.0,167.0,89.0
1471,171.0,167.0,89.0
1472,171.0,167.0,89.0
1473,171.0,167.0,89.0
1474,171.0,167.0,89.0
1475,171.0,167.0,89.0
1476,171.0,167.0,89.0
1477,171.0,167.0,89.0
1478,171.0,167.0,89.0
1479,171.0,167.0,89.0
1480,171.0,168.0,89.0
1481,171.0,169.0,89.0
1482,171.0,169.0,90.0
1483,171.0,169.0,90.0
1484,172.0,169.0,90.0
1485,173.0,169.0,90.0
1486,173.0,169.0,90.0
1487,173.0,169.0,90.0
1488,173.0,169.0,90.0
1489,173.0,169.0,90.0
1490,173.0,169.0,90.0
1491,173.0,169.0,90.0
1492,173.0,169.0,90.0
1493,173.0,169.0,90.0
1494,173.0,169.0,90.0
1495,173.0,169.0,90.0
1496,173.0,169.0,90.0
1497,173.0,169.0,90.0
1498,173.0,170.0,90.0
1499,173.0,171.0,91.0
1500,173.0,171.0,91.0
1501,173.0,171.0,91.0
1502,174.0,171.0,91.0
1503,175.0,171.0,91.0
1504,175.0,171.0,91.0
1505,175.0,171.0,91.0
1506,175.0,171.0,91.0
1507,175.0,171.0,91.0
1508,175.0,171.0,91.0
1509,175.0,171.0,91.0
1510,175.0,171.0,91.0
1511,175.0,171.0,91.0
1512,175.0,171.0,91.0
1513,175.0,171.0,91.0
1514,175.0,171.0,91.0
1515,175.0,171.0,91.0
1516,175.0,172.0,92.0
1517,175.0,173.0,92.0
1518,175.0,173.0,92.0
1519,175.0,173.0,92.0
1520,176.0,173.0,92.0
1521,177.0,173.0,92.0
1522,177.0,173.0,92.0
1523,177.0,173.0,92.0
1524,177.0,173.0,92.0
1525,177.0,173.0,92.0
1526,177.0,173.0,92.0
1527,177.0,173.0,92.0
1528,177.0,173.0,92.0
1529,177.0,173.0,92.0
1530,177.0,173.0,92.0
1531,177.0,173.0,92.0
1532,177.0,173.0,92.0
1533,177.0,173.0,93.0
1534,177.0,174.0,93.0
1535,177.0,175.0,93.0
1536,177.0,175.0,93.0
1537,177.0,175.0,93.0
1538,178.0,175.0,93.0
1539,179.0,175.0,93.0
1540,179.0,175.0,93.0
1541,179.0,175.0,93.0
1542,179.0,175.0,93.0
1543,179.0,175.0,93.0
1544,179.0,175.0,93.0
1545,179.0,175.0,93.0
1546,179.0,175.0,93.0
1547,179.0,175.0,93.0
1548,179.0,175.0,93.0
1549,179.0,175.0,93.0
1550,179.0,175.0,94.0
1551,179.0,175.0,94.0
1552,179.0,176.0,94.0
1553,179.0,177.0,94.0
1554,179.0,177.0,94.0
1555,179.0,177.0,94.0
1556,180.0,177.0,94.0
1557,181.0,177.0,94.0
1558,181.0,177.0,94.0
1559,181.0,177.0,94.0
1560,181.0,177.0,94.0
1561,181.0,177.0,94.0
1562,181.0,177.0,94.0
1563,181.0,177.0,94.0
1564,181.0,177.0,94.0
1565,181.0,177.0,94.0
1566,181.0,177.0,94.0
1567,181.0,177.0,95.0
1568,181.0,177.0,95.0
1569,181.0,177.0,95.0
1570,181.0,178.0,95.0
1571,181.0,179.0,95.0
1572,181.0,179.0,95.0
1573,181.0,179.0,95.0
1574,182.0,179.0,95.0
1575,183.0,179.0,95.0
1576,183.0,179.0,95.0
1577,183.0,179.0,95.0
1578,183.0,179.0,95.0
1579,183.0,179.0,95.0
1580,183.0,179.0,95.0
1581,183.0,179.0,95.0
1582,183.0,179.0,95.0
1583,183.0,179.0,95.0
1584,183.0,179.0,96.0
1585,183.0,179.0,96.0
1586,183.0,179.0,96.0
1587,183.0,179.0,96.0
1588,183.0,180.0,96.0
1589,183.0,181.0,96.0
1590,183.0,181.0,96.0
1591,183.0,181.0,96.0
1592,184.0,181.0,96.0
1593,185.0,181.0,96.0
1594,185.0,181.0,96.0
1595,185.0,181.0,96.0
1596,185.0,181.0,96.0
1597,185.0,181.0,96.0
1598,185.0,181.0,96.0
1599,185.0,181.0,96.0
1600,185.0,181.0,96.0
1601,185.0,181.0,97.0
1602,185.0,181.0,97.0
1603,185.0,181.0,97.0
1604,185.0,181.0,97.0
1605,185.0,181.0,97.0
1606,185.0,182.0,97.0
1607,185.0,183.0,97.0
1608,185.0,183.0,97.0
1609,185.0,183.0,97.0
1610,186.0,183.0,97.0
1611,187.0,183.0,97.0
1612,187.0,183.0,97.0
1613,187.0,183.0,97.0
1614,187.0,183.0,97.0
1615,187.0,183.0,97.0
1616,187.0,183.0,97.0
1617,187.0,183.0,97.0
1618,187.0,183.0,98.0
1619,187.0,183.0,98.0
1620,187.0,183.0,98.0
1621,187.0,183.0,98.0
1622,187.0,183.0,98.0
1623,187.0,183.0,98.0
1624,187.0,184.0,98.0
1625,187.0,185.0,98.0
1626,187.0,185.0,98.0
1627,187.0,185.0,98.0
1628,188.0,185.0,98.0
1629,189.0,185.0,98.0
1630,189.0,185.0,98.0
1631,189.0,185.0,98.0
1632,189.0,185.0,98.0
1633,189.0,185.0,98.0
1634,189.0,185.0,98.0
1635,189.0,185.0,99.0
1636,189.0,185.0,99.0
1637,189.0,185.0,99.0
1638,189.0,185.0,99.0
1639,189.0,185.0,99.0
1640,189.0,185.0,99.0
1641,189.0,185.0,99.0
1642,189.0,186.0,99.0
1643,189.0,187.0,99.0
1644,189.0,187.0,99.0
1645,189.0,187.0,99.0
1646,190.0,187.0,99.0
1647,191.0,187.0,99.0
1648,191.0,187.0,99.0
1649,191.0,187.0,99.0
1650,191.0,187.0,99.0
1651,191.0,187.0,99.0
1652,191.0,187.0,100.0
1653,191.0,187.0,100.0
1654,191.0,187.0,100.0
1655,191.0,187.0,100.0
1656,191.0,187.0,100.0
1657,191.0,187.0,100.0
1658,191.0,187.0,100.0
1659,191.0,187.0,100.0
1660,191.0,188.0,100.0
1661,191.0,189.0,100.0
1662,191.0,189.0,100.0
1663,191.0,189.0,100.0
1664,192.0,189.0,100.0
1665,193.0,189.0,100.0
1666,193.0,189.0,100.0
1667,193.0,189.0,100.0
1668,193.0,189.0,100.0
1669,193.0,189.0,101.0
1670,193.0,189.0,101.0
1671,193.0,189.0,101.0
1672,193.0,189.0,101.0
1673,193.0,189.0,101.0
1674,193.0,189.0,101.0
1675,193.0,189.0,101.0
1676,193.0,189.0,101.0
1677,193.0,189.0,101.0
1678,193.0,190.0,101.0
1679,193.0,191.0,101.0
1680,193.0,191.0,101.0
1681,193.0,191.0,101.0
1682,194.0,191.0,101.0
1683,195.0,191.0,101.0
1684,195.0,191.0,101.0
1685,195.0,191.0,101.0
1686,195.0,191.0,102.0
1687,195.0,191.0,102.0
1688,195.0,191.0,102.0
1689,195.0,191.0,102.0
1690,195.0,191.0,102.0
1691,195.0,191.0,102.0
1692,195.0,191.0,102.0
1693,195.0,191.0,102.0
1694,195.0,191.0,102.0
1695,195.0,191.0,102.0
1696,195.0,192.0,102.0
1697,195.0,193.0,102.0
1698,195.0,193.0,102.0
1699,195.0,193.0,102.0
1700,196.0,193.0,102.0
1701,197.0,193.0,102.0
1702,197.0,193.0,102.0
1703,197.0,193.0,103.0
1704,197.0,193.0,103.0
1705,197.0,193.0,103.0
1706,197.0,193.0,103.0
1707,197.0,193.0,103.0
1708,197.0,193.0,103.0
1709,197.0,193.0,103.0
1710,197.0,193.0,103.0
1711,197.0,193.0,103.0
1712,197.0,193.0,103.0
1713,197.0,193.0,103.0
1714,197.0,194.0,103.0
1715,197.0,195.0,103.0
1716,197.0,195.0,103.0
1717,197.0,195.0,103.0
1718,198.0,195.0,103.0
1719,199.0,195.0,103.0
1720,199.0,195.0,104.0
1721,199.0,195.0,104.0
1722,199.0,195.0,104.0
1723,199.0,195.0,104.0
1724,199.0,195.0,104.0
1725,199.0,195.0,104.0
1726,199.0,195.0,104.0
1727,199.0,195.0,104.0
1728,199.0,195.0,104.0
1729,199.0,195.0,104.0
1730,199.0,195.0,104.0
1731,199.0,195.0,104.0
1732,199.0,196.0,104.0
1733,199.0,197.0,104.0
1734,199.0,197.0,104.0
1735,199.0,197.0,104.0
1736,200.0,197.0,104.0
1737,201.0,197.0,105.0
1738,201.0,197.0,105.0
1739,201.0,197.0,105.0
1740,201.0,197.0,105.0
1741,201.0,197.0,105.0
1742,201.0,197.0,105.0
1743,201.0,197.0,105.0
1744,201.0,197.0,105.0
1745,201.0,197.0,105.0
1746,201.0,197.0,105.0
1747,201.0,197.0,105.0
1748,201.0,197.0,105.0
1749,201.0,197.0,105.0
1750,201.0,198.0,105.0
1751,201.0,199.0,105.0
1752,201.0,199.0,105.0
1753,201.0,199.0,105.0
1754,202.0,199.0,106.0
1755,203.0,199.0,106.0
1756,203.0,199.0,106.0
1757,203.0,199.0,106.0
1758,203.0,199.0,106.0
1759,203.0,199.0,106.0
1760,203.0,199.0,106.0
1761,203.0,199.0,106.0
1762,203.0,199.0,106.0
1763,203.0,199.0,106.0
1764,203.0,199.0,106.0
1765,203.0,199.0,106.0
1766,203.0,199.0,106.0
1767,203.0,199.0,106.0
1768,203.0,200.0,106.0
1769,203.0,201.0,106.0
1770,203.0,201.0,106.0
1771,203.0,201.0,107.0
1772,204.0,201.0,107.0
1773,205.0,201.0,107.0
1774,205.0,201.0,107.0
1775,205.0,201.0,107.0
1776,205.0,201.0,107.0
1777,205.0,201.0,107.0
1778,205.0,201.0,107.0
1779,205.0,201.0,107.0
1780,205.0,201.0,107.0
1781,205.0,201.0,107.0
1782,205.0,201.0,107.0
1783,205.0,201.0,107.0
1784,205.0,201.0,107.0
1785,205.0,201.0,107.0
1786,205.0,202.0,107.0
1787,205.0,203.0,107.0
1788,205.0,203.0,108.0
1789,205.0,203.0,108.0
1790,206.0,203.0,108.0
1791,207.0,203.0,108.0
1792,207.0,203.0,108.0
1793,207.0,203.0,108.0
1794,207.0,203.0,108.0
1795,207.0,203.0,108.0
1796,207.0,203.0,108.0
1797,207.0,203.0,108.0
1798,207.0,203.0,108.0
1799,207.0,203.0,108.0
1800,207.0,203.0,108.0
1801,207.0,203.0,108.0
1802,207.0,203.0,108.0
1803,207.0,203.0,108.0
1804,207.0,204.0,108.0
1805,207.0,205.0,109.0
1806,207.0,205.0,109.0
1807,207.0,205.0,109.0
1808,208.0,205.0,109.0
1809,209.0,205.0,109.0
1810,209.0,205.0,109.0
1811,209.0,205.0,109.0
1812,209.0,205.0,109.0
1813,209.0,205.0,109.0
1814,209.0,205.0,109.0
1815,209.0,205.0,109.0
1816,209.0,205.0,109.0
1817,209.0,205.0,109.0
1818,209.0,205.0,109.0
1819,209.0,205.0,109.0
1820,209.0,205.0,109.0
1821,209.0,205.0,109.0
1822,209.0,206.0,110.0
1823,209.0,207.0,110.0
1824,209.0,207.0,110.0
1825,209.0,207.0,110.0
1826,210.0,207.0,110.0
1827,211.0,207.0,110.0
1828,211.0,207.0,110.0
1829,211.0,207.0,110.0
1830,211.0,207.0,110.0
1831,211.0,207.0,110.0
1832,211.0,207.0,110.0
1833,211.0,207.0,110.0
1834,211.0,207.0,110.0
1835,211.0,207.0,110.0
1836,211.0,207.0,110.0
1837,211.0,207.0,110.0
1838,211.0,207.0,110.0
1839,211.0,207.0,111.0
1840,211.0,208.0,111.0
1841,211.0,209.0,111.0
1842,211.0,209.0,111.0
1843,211.0,209.0,111.0
1844,212.0,209.0,111.0
1845,213.0,209.0,111.0
1846,213.0,209.0,111.0
1847,213.0,209.0,111.0
1848,213.0,209.0,111.0
1849,213.0,209.0,111.0
1850,213.0,209.0,111.0
1851,213.0,209.0,111.0
1852,213.0,209.0,111.0
1853,213.0,209.0,111.0
1854,213.0,209.0,111.0
1855,213.0,209.0,111.0
1856,213.0,209.0,112.0
1857,213.0,209.0,112.0
1858,213.0,210.0,112.0
1859,213.0,211.0,112.0
1860,213.0,211.0,112.0
1861,213.0,211.0,112.0
1862,214.0,211.0,112.0
1863,215.0,211.0,112.0
1864,215.0,211.0,112.0
1865,215.0,211.0,112.0
1866,215.0,211.0,112.0
1867,215.0,211.0,112.0
1868,215.0,211.0,112.0
1869,215.0,211.0,112.0
1870,215.0,211.0,112.0
1871,215.0,211.0,112.0
1872,215.0,211.0,112.0
1873,215.0,211.0,113.0
1874,215.0,211.0,113.0
1875,215.0,211.0,113.0
1876,215.0,212.0,113.0
1877,215.0,213.0,113.0
1878,215.0,213.0,113.0
1879,215.0,213.0,113.0
1880,216.0,213.0,113.0
1881,217.0,213.0,113.0
1882,217.0,213.0,113.0
1883,217.0,213.0,113.0
1884,217.0,213.0,113.0
1885,217.0,213.0,113.0
1886,217.0,213.0,113.0
1887,217.0,213.0,113.0
1888,217.0,213.0,113.0
1889,217.0,213.0,113.0
1890,217.0,213.0,114.0
1891,217.0,213.0,114.0
1892,217.0,213.0,114.0
1893,217.0,213.0,114.0
1894,217.0,214.0,114.0
1895,217.0,215.0,114.0
1896,217.0,215.0,114.0
1897,217.0,215.0,114.0
1898,218.0,215.0,114.0
1899,219.0,215.0,114.0
1900,219.0,215.0,114.0
1901,219.0,215.0,114.0
1902,219.0,215.0,114.0
1903,219.0,215.0,114.0
1904,219.0,215.0,114.0
1905,219.0,215.0,114.0
1906,219.0,215.0,114.0
1907,219.0,215.0,115.0
1908,219.0,215.0,115.0
1909,219.0,215.0,115.0
1910,219.0,215.0,115.0
1911,219.0,215.0,115.0
1912,219.0,216.0,115.0
1913,219.0,217.0,115.0
