Final Quaternary Strand Length,3-RLL and Knuth,3-RLL and Knuth with Skips,3-RLL and Knuth by blocks
309,40.0,37.0,21.0
310,40.0,38.0,21.0
311,40.0,39.0,21.0
312,40.0,39.0,21.0
313,41.0,39.0,21.0
314,42.0,39.0,21.0
315,42.0,39.0,21.0
316,42.0,39.0,21.0
317,42.0,39.0,21.0
318,42.0,39.0,21.0
319,42.0,39.0,21.0
320,42.0,39.0,21.0
321,42.0,39.0,21.0
322,42.0,39.0,21.0
323,42.0,39.0,21.0
324,42.0,39.0,21.0
325,42.0,39.0,21.0
326,42.0,39.0,22.0
327,42.0,39.0,22.0
328,42.0,40.0,22.0
329,42.0,41.0,22.0
330,42.0,41.0,22.0
331,43.0,41.0,22.0
332,44.0,41.0,22.0
333,44.0,41.0,22.0
334,44.0,41.0,22.0
335,44.0,41.0,22.0
336,44.0,41.0,22.0
337,44.0,41.0,22.0
338,44.0,41.0,22.0
339,44.0,41.0,22.0
340,44.0,41.0,22.0
341,44.0,41.0,22.0
342,44.0,41.0,22.0
343,44.0,41.0,23.0
344,44.0,41.0,23.0
345,44.0,41.0,23.0
346,44.0,42.0,23.0
347,44.0,43.0,23.0
348,44.0,43.0,23.0
349,45.0,43.0,23.0
350,46.0,43.0,23.0
351,46.0,43.0,23.0
352,46.0,43.0,23.0
353,46.0,43.0,23.0
354,46.0,43.0,23.0
355,46.0,43.0,23.0
356,46.0,43.0,23.0
357,46.0,43.0,23.0
358,46.0,43.0,23.0
359,46.0,43.0,23.0
360,46.0,43.0,24.0
361,46.0,43.0,24.0
362,46.0,43.0,24.0
363,46.0,43.0,24.0
364,46.0,44.0,24.0
365,46.0,45.0,24.0
366,46.0,45.0,24.0
367,47.0,45.0,24.0
368,48.0,45.0,24.0
369,48.0,45.0,24.0
370,48.0,45.0,24.0
371,48.0,45.0,24.0
372,48.0,45.0,24.0
373,48.0,45.0,24.0
374,48.0,45.0,24.0
375,48.0,45.0,24.0
376,48.0,45.0,24.0
377,48.0,45.0,25.0
378,48.0,45.0,25.0
379,48.0,45.0,25.0
380,48.0,45.0,25.0
381,48.0,45.0,25.0
382,48.0,46.0,25.0
383,48.0,47.0,25.0
384,48.0,47.0,25.0
385,49.0,47.0,25.0
386,50.0,47.0,25.0
387,50.0,47.0,25.0
388,50.0,47.0,25.0
389,50.0,47.0,25.0
390,50.0,47.0,25.0
391,50.0,47.0,25.0
392,50.0,47.0,25.0
393,50.0,47.0,25.0
394,50.0,47.0,26.0
395,50.0,47.0,26.0
396,50.0,47.0,26.0
397,50.0,47.0,26.0
398,50.0,47.0,26.0
399,50.0,47.0,26.0
400,50.0,48.0,26.0
401,50.0,49.0,26.0
402,50.0,49.0,26.0
403,51.0,49.0,26.0
404,52.0,49.0,26.0
405,52.0,49.0,26.0
406,52.0,49.0,26.0
407,52.0,49.0,26.0
408,52.0,49.0,26.0
409,52.0,49.0,26.0
410,52.0,49.0,26.0
411,52.0,49.0,27.0
412,52.0,49.0,27.0
413,52.0,49.0,27.0
414,52.0,49.0,27.0
415,52.0,49.0,27.0
416,52.0,49.0,27.0
417,52.0,49.0,27.0
418,52.0,50.0,27.0
419,52.0,51.0,27.0
420,52.0,51.0,27.0
421,53.0,51.0,27.0
422,54.0,51.0,27.0
423,54.0,51.0,27.0
424,54.0,51.0,27.0
425,54.0,51.0,27.0
426,54.0,51.0,27.0
427,54.0,51.0,27.0
428,54.0,51.0,28.0
429,54.0,51.0,28.0
430,54.0,51.0,28.0
431,54.0,51.0,28.0
432,54.0,51.0,28.0
433,54.0,51.0,28.0
434,54.0,51.0,28.0
435,54.0,51.0,28.0
436,54.0,52.0,28.0
437,54.0,53.0,28.0
438,54.0,53.0,28.0
439,55.0,53.0,28.0
440,56.0,53.0,28.0
441,56.0,53.0,28.0
442,56.0,53.0,28.0
443,56.0,53.0,28.0
444,56.0,53.0,28.0
445,56.0,53.0,29.0
446,56.0,53.0,29.0
447,56.0,53.0,29.0
448,56.0,53.0,29.0
449,56.0,53.0,29.0
450,56.0,53.0,29.0
451,56.0,53.0,29.0
452,56.0,53.0,29.0
453,56.0,53.0,29.0
454,56.0,54.0,29.0
455,56.0,55.0,29.0
456,56.0,55.0,29.0
457,57.0,55.0,29.0
458,58.0,55.0,29.0
459,58.0,55.0,29.0
460,58.0,55.0,29.0
461,58.0,55.0,29.0
462,58.0,55.0,30.0
463,58.0,55.0,30.0
464,58.0,55.0,30.0
465,58.0,55.0,30.0
466,58.0,55.0,30.0
467,58.0,55.0,30.0
468,58.0,55.0,30.0
469,58.0,55.0,30.0
470,58.0,55.0,30.0
471,58.0,55.0,30.0
472,58.0,56.0,30.0
